Year,Urban Land,Historical Urban Land,Urban Land Error Percent,Urban Land Absolute Error Percent
2000,154139.0,154139.0,0.0,0.0
2001,154139.0,156386.83333333334,-1.4373545940035508,1.4373545940035508
2002,154139.0,158634.66666666666,-2.833974919311452,2.833974919311452
2003,154139.0,160882.5,-4.191568380650475,4.191568380650475
2004,154139.0,163130.33333333334,-5.511748274896765,5.511748274896765
2005,154139.0,165378.16666666666,-6.796040186683243,6.796040186683243
2006,154139.0,167626.0,-8.045887869423597,8.045887869423597
2007,154139.0,169648.16666666666,-9.141959486741673,9.141959486741673
2008,154139.0,171670.33333333334,-10.212209059612325,10.212209059612325
2009,154139.0,173692.5,-11.257538465967155,11.257538465967155
2010,154139.0,175714.66666666666,-12.27880806762478,12.27880806762478
2011,154139.0,177736.83333333334,-13.276839071998776,13.276839071998776
2012,154139.0,179759.0,-14.252415734399944,14.252415734399944
2013,154139.0,180082.5,-14.406452598114752,14.406452598114752
2014,154139.0,180406.0,-14.559937030919148,14.559937030919148
2015,154139.0,180729.5,-14.712871999313892,14.712871999313892
2016,154139.0,181053.0,-14.865260448597924,14.865260448597924
2017,154139.0,181376.5,-15.017105303057452,15.017105303057452
2018,154139.0,181700.0,-15.168409466153,15.168409466153
2019,154178.4396430976,181700.0,-15.14670355360616,15.14670355360616
2020,154452.5244263585,181700.0,-14.995858873770782,14.995858873770782
2021,154943.36893459765,181700.0,-14.725718803193372,14.725718803193372
2022,155656.3595165487,181700.0,-14.333318923198298,14.333318923198298
2023,156575.2890361918,181700.0,-13.827578956416184,13.827578956416184
2024,157685.61318661555,181700.0,-13.21650347461995,13.21650347461995
2025,158974.35991444014,181700.0,-12.507231747693925,12.507231747693925
