time,Year,Aggricultural Land,Land Conversion Rate,Urban Land Gap,Expected Population,Agricultural Scarcity Index,Populational Need of Kcal in Km2,Yield,Mean Household Size,Income per Capita,Transport Cost per km,Agricultural Rent
2025,181700.0,1600400.0,0.0,0.0,451800000.0,0.19463321669582603,311491.0,1800000000.0,2.3,41650.0,0.47,30000.0
2026,181700.0,1600400.0,1438.6507306655014,4315.952191996505,452080000.0,0.19475383931794832,311684.0444444445,1800000000.0,2.2874999999999996,42066.5,0.47,30000.0
2027,183138.6507306655,1598961.3492693345,2376.628394982079,7129.885184946237,452360000.0,0.19351757935976063,309427.1298004184,1814251905.97247,2.2765625,42487.165,0.47,30003.718459495354
2028,185515.2791256476,1596584.7208743524,2995.827977929924,8987.483933789772,452640000.0,0.19144123218292894,305652.14624862367,1837795830.6338227,2.2669921874999996,42913.71865855727,0.47,29968.582775674095
2029,188511.10710357752,1593588.8928964224,3411.6373489745115,10234.912046923535,452920000.0,0.18886977556159157,300980.7765387925,1867473818.3073168,2.2586181640625,43347.36128859364,0.47,29876.466227965997
2030,191922.74445255203,1590177.2555474478,3698.470008324201,11095.410024972603,453200000.0,0.18602534650664382,295813.2749701979,1901270996.2278125,2.251290893554687,43788.95937920093,0.47,29723.502143897935
2031,195621.21446087622,1586478.7855391237,3825.3567410018004,11476.070223005401,452960000.0,0.1828368943839316,290066.85415396484,1937909664.4445632,2.2448795318603514,44239.167171715475,0.47,29513.44505086608
2032,199446.57120187802,1582653.4287981219,3926.031827334334,11778.095482003002,452720000.0,0.1796683118127581,284352.66973683174,1975805328.3620274,2.2392695903778073,44698.5060898214,0.47,29247.1082776187
2033,203372.60302921236,1578727.3969707876,4012.966175206869,12038.898525620607,452480000.0,0.17654442120942068,278715.514545663,2014698323.8997366,2.2343608915805815,45167.31958277632,0.47,28936.360283134374
2034,207385.56920441924,1574714.4307955806,4094.128034702871,12282.384104108613,452240000.0,0.17347737253086984,273177.3219408616,2054452529.2677739,2.2300657801330086,45645.9298558526,0.47,28591.461040557795
2035,211479.69723912212,1570620.3027608776,4174.610699250789,12523.832097752369,452000000.0,0.17047188029869548,267746.5962469532,2095010759.6610882,2.2263075576163827,46134.65227191835,0.47,28220.993077738796
2036,215654.30793837292,1566445.6920616268,4230.702621235367,12692.1078637061,451600000.0,0.16746908835429028,262331.23200606595,2136366286.676231,2.2230191129143346,46633.80495800819,0.47,27831.967752527496
2037,219885.0105596083,1562214.9894403915,4299.31936507253,12897.95809521759,451200000.0,0.16454582572409782,257055.955396032,2178277484.9053097,2.220141723800043,47143.715340386356,0.47,27428.179779753737
2038,224184.32992468082,1557915.670075319,4379.0715043565915,13137.214513069775,450800000.0,0.1616921413207142,251902.7206915736,2220868430.734317,2.2176240083250374,47664.689732868144,0.47,27015.03335619101
2039,228563.40142903742,1553536.5985709624,4469.014825568127,13407.044476704381,450400000.0,0.15890018620546825,246857.25478993572,2264249436.281052,2.215421007284408,48197.060416778244,0.47,26596.545074948106
2040,233032.41625460554,1549067.5837453944,4568.5307023826945,13705.592107148084,450000000.0,0.15616367235313122,241908.08260087244,2308521459.8695097,2.2134933813738566,48741.18507130406,0.47,26175.686249592818
2041,237600.94695698825,1544499.0530430116,4658.583675957944,13975.751027873834,449500000.0,0.15344335519385532,236993.116792652,2353779331.439619,2.2118067087021247,49297.44675142885,0.47,25754.64008867428
2042,242259.5306329462,1539840.4693670536,4763.047303091909,14289.141909275728,449000000.0,0.1507800711390197,232177.2555139058,2399929307.3159227,2.210330870114359,49866.254294231156,0.47,25333.943358242996
2043,247022.5779360381,1535077.4220639616,4879.960445888923,14639.881337666768,448500000.0,0.14816639600244624,227446.88921194326,2447114145.761522,2.2090395113500643,50448.017468832295,0.47,24915.28434396916
2044,251902.53838192704,1530197.4616180728,5008.102947845599,15024.308843536797,448000000.0,0.145596922946316,222792.04191185485,2495457177.1462216,2.2079095724313063,51043.17993721424,0.47,24499.784807406082
2045,256910.64132977262,1525189.3586702272,5146.767929568935,15440.303788706806,447500000.0,0.14306763023109903,218205.22719863913,2545069644.4336305,2.206920875877393,51652.218252785555,0.47,24088.175480044967
2046,262057.40925934157,1520042.5907406583,5295.608089706967,15886.824269120902,447000000.0,0.14057546437616664,213680.69306491947,2596055787.929635,2.206055766392719,52275.64182389066,0.47,23680.916968049976
2047,267353.0173490485,1514746.9826509515,5454.5331570943235,16363.59947128297,446500000.0,0.13811806359676113,209213.92008278612,2648516407.420403,2.205298795593629,52913.993595578584,0.47,23278.283626048866
2048,272807.55050614284,1509292.449493857,5623.642306686011,16870.92692005803,446000000.0,0.13569357258474143,204801.2845469969,2702551408.4262905,2.2046364461444257,53567.85128638989,0.47,22880.42213049754
2049,278431.1928128289,1503668.8071871712,5803.180318942798,17409.540956828394,445500000.0,0.1333005169149672,200439.82926696204,2758261678.9383154,2.2040568903763726,54237.82907598962,0.47,22487.39262857793
2050,284234.3731317717,1497865.6268682284,5993.509827161247,17980.52948148374,445000000.0,0.1309377165788006,196127.10492399958,2815750531.8502417,2.203549779079326,54924.579681061536,0.47,22099.197785614917
