source_view,target_view,weight
01_Population_Household,02_Transport_and_Commuting,1
01_Population_Household,03_Income_and_Productivity,1
01_Population_Household,04_Urban_Rent_and_Land_Tightness,2
01_Population_Household,05_AMM_Budget_and_Housing_Demand,5
01_Population_Household,08_Agriculture_and_Scarcity,1
01_Population_Household,09_Urban_Land_Conversion_Logic,1
02_Transport_and_Commuting,03_Income_and_Productivity,1
02_Transport_and_Commuting,04_Urban_Rent_and_Land_Tightness,1
02_Transport_and_Commuting,05_AMM_Budget_and_Housing_Demand,2
03_Income_and_Productivity,04_Urban_Rent_and_Land_Tightness,3
03_Income_and_Productivity,05_AMM_Budget_and_Housing_Demand,2
03_Income_and_Productivity,08_Agriculture_and_Scarcity,1
04_Urban_Rent_and_Land_Tightness,05_AMM_Budget_and_Housing_Demand,8
04_Urban_Rent_and_Land_Tightness,07_Cobb_Douglas_Utility,2
04_Urban_Rent_and_Land_Tightness,09_Urban_Land_Conversion_Logic,5
04_Urban_Rent_and_Land_Tightness,10_Soil_Protection_and_Agricultural_Pressure,1
04_Urban_Rent_and_Land_Tightness,11_Innovation_and_City_Size,1
05_AMM_Budget_and_Housing_Demand,04_Urban_Rent_and_Land_Tightness,2
05_AMM_Budget_and_Housing_Demand,07_Cobb_Douglas_Utility,2
05_AMM_Budget_and_Housing_Demand,08_Agriculture_and_Scarcity,1
05_AMM_Budget_and_Housing_Demand,09_Urban_Land_Conversion_Logic,3
05_AMM_Budget_and_Housing_Demand,10_Soil_Protection_and_Agricultural_Pressure,1
08_Agriculture_and_Scarcity,05_AMM_Budget_and_Housing_Demand,2
08_Agriculture_and_Scarcity,Macro_Ebene,1
09_Urban_Land_Conversion_Logic,Macro_Ebene,1
11_Innovation_and_City_Size,03_Income_and_Productivity,2
Macro_Ebene,04_Urban_Rent_and_Land_Tightness,2
Macro_Ebene,08_Agriculture_and_Scarcity,2
